id,MovieName,Genre,Directors,Stars,Overviews,Watch_time,Year_of_Release,Meta_Score,Votes,Gross_Collection(M$)
629,The Usual Suspects,"Crime, Drama, Mystery",Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin",The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,102,1942,100,580748,1.02
289,Casablanca,"Drama, Romance, War",Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,119,1998,62,1138280,6.72
73,American History X,"Crime, Drama",Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien","Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",109,1960,97,683509,32
539,Psycho,"Horror, Mystery, Thriller",Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",150,2002,85,849706,32.57
423,The Pianist,"Biography, Drama, Music",Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,112,2011,57,876090,13.18
,The Intouchables,"Biography, Comedy, Drama",Olivier Nakache,"Éric Toledano, François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",165,1968,82,335448,5.32
,Once Upon a Time in the West,Western,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,89,1988,94,47591,16.94
,Hotaru no haka,"Animation, Drama, War",Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara",A young boy and his little sister struggle to survive in Japan during World War II.,112,1954,100,499554,36.76
567,Rear Window,"Mystery, Thriller",Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter","A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",155,1988,80,266680,11.99
11216,Nuovo Cinema Paradiso,"Drama, Romance",Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,50,2013,59,47591,16.94
,Banshee,Action,Gemma Mc Carthy,"Antony Starr, Jonathan O' Dwyer, Sean Flood, Frank Hurley","A thief gets out of prison after many years and decides to try and locate someone from his past. After a series of events, he ends up becoming sheriff. Now he has to face his past while in his new position as sheriff.",87,1936,96,246987,0.16
3082,Modern Times,"Comedy, Drama, Romance",Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,87,1931,99,187681,0.02
901,City Lights,"Comedy, Drama, Romance",Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",147,1964,59,47591,16.94
,Suna no onna,"Drama, Thriller",Hiroshi Teshigahara,"Eiji Okada, Kyôko Kishida, Hiroko Itô, Kôji Mitsui",An entomologist on vacation is trapped by local villagers into living with a woman whose life task is shoveling sand for them.,105,1959,59,15345,0.02
,Apur Sansar,Drama,Satyajit Ray,"Soumitra Chatterjee, Sharmila Tagore, Alok Chakravarty, Swapan Mukherjee",This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.,366,2003,89,22504,0.27
11659,La meglio gioventù,"Drama, Romance",Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Jasmine Trinca, Adriana Asti",An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.,158,2018,59,47591,16.94
,96,"Drama, Romance",C. Prem Kumar,"Vijay Sethupathi, Adithya Bhaskar, Trisha Krishnan, Gouri Kishan",Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,131,1960,59,18951,0.03
,Le trou,"Crime, Drama, Thriller",Jacques Becker,"André Bervil, Jean Keraudy, Michel Constantin, Philippe Leroy",Distrust and uncertainty arise when four long-term inmates cautiously induct a new prisoner into their elaborate prison-break scheme.,135,2019,59,47591,16.94
,Kumbalangi Nights,"Comedy, Drama, Romance",Madhu C. Narayanan,"Shane Nigam, Soubin Shahir, Fahadh Faasil, Sreenath Bhasi","The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby stand by his love.",122,2020,59,47591,16.94
,Shingeki no Kyojin: Chronicle,"Animation, Action, Adventure",Masashi Koizuka,"Tetsurô Araki, Yûki Kaji, Yui Ishikawa, Marina Inoue, Natsuki Aikawa",A recap of the popular anime series Shingeki no Kyojin from seasons 1-3.,117,2015,59,47591,16.94
,Visaaranai,"Crime, Drama, Thriller",Vetrimaaran,"Dinesh, Samuthirakani, Anandhi, Murugadass",Four labourers are tortured by the police to confess to a theft they have not committed.,90,1977,59,47591,16.94
